Seller,loja oficial atual,loja esta correta?,lojas encontrada para o seller no MELI,tipo
GB - FIAT BARIGUI TORRES,Perfil do vendedor,Loja incorreta,['FIAT'],car_dealer
GB - FÓRMULA RENAULT MARECHAL,Renault Loja Oficial,Loja 1604 correta,[],brand
GB - NISSAN NIX JOINVILLE,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
GB - KIA BARIGUI PARQUE,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
GB - HYUNDAI BARIGUI ITAJAI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
GB - NISSAN BARIGUI MARECHAL,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
GB - VOLKSWAGENVOX,Volkswagen Loja Oficial,Loja 1038 correta,[],brand
GB - VW BARIGUI CABRAL,Volkswagen Loja Oficial,Loja 1038 correta,[],brand
GB - CITROEN BARIGUI PARQUE,Perfil do vendedor,Loja incorreta,['Citroen'],brand
GB - FIAT BARIGUI ITAJAI,Perfil do vendedor,Loja incorreta,['FIAT'],car_dealer
GB - JEEP BARIGUI TORRES,Perfil do vendedor,Loja incorreta,['Jeep'],brand
GB - FORMULA RENAULT LONDRINA,Renault Loja Oficial,Loja 1604 correta,[],car_dealer
SIMÕES - MURANO FIAT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
PARVI - VW BREMEN AEROPORTO,Volkswagen Loja Oficial,Loja 1038 correta,[],brand
PARVI - VW BREMEN AFOGADOS,Perfil do vendedor,Loja incorreta,['Volkswagen'],brand
PARVI - VW BREMEN RETIRO,Volkswagen Loja Oficial,Loja 1038 correta,[],normal
LEAUTO - NISSAN USINA,NISSAN Loja Oficial,Loja 3126 correta,[],brand
BETIOLO - FIAT LAJEADO,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
BETIOLO - JEEP LAJEADO,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
ITALIANA - FIAT IMBIRIBEIRA,Perfil do vendedor,Loja incorreta,['FIAT'],car_dealer
ITALIANA - JEEP PINA,Perfil do vendedor,Loja incorreta,['Jeep'],brand
LE LAC - PEUGEOT CITROEN,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CURINGA - FIAT UBERLÂNDIA,Perfil do vendedor,Loja incorreta,['FIAT'],brand
OPEN - RENAULT CASCAVEL,Renault Loja Oficial,Loja 1604 correta,[],brand
OPEN - HYUNDAI CASCAVEL,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
PROVENCE - HYUNDAI LOVAT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
PROVENCE - PEUGEOT CITROEN,Perfil do vendedor,Loja incorreta,"['Citroen', 'Peugeot']",brand
PROVENCE - HONDA SAIKON,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CONFIALLE - FIAT MATÃO,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AVERSA - HONDA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CORDIAL - FIAT ERECHIM,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CORDIAL - JEEP CONCORDIA,Perfil do vendedor,Loja incorreta,"['Jeep', 'RAM']",brand
CORDIAL - PEUGEOT CITROEN,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
BREITKOPF - VOLKSWAGEN,Volkswagen Loja Oficial,Loja 1038 correta,[],brand
TONIELLO - KOI HONDA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CORDIAL - HYUNDAI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CORDIAL - FIAT CONCORDIA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
FIPAL - MITSUBISHI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
OPEN - MITSUBISHI CASCAVEL,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
VALVERDE - FIAT VALVERDE,Perfil do vendedor,Loja incorreta,['FIAT'],brand
DISVEL - FIAT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AUTOMOTIVE - AUTOFRANCE G1 RENAULT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AUTOMOTIVE - G4 FIAT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - AUDI CENTER RP,AUDI Loja Oficial,Loja 3295 correta,[],brand
TONIELLO - EURO RENAULT,Renault Loja Oficial,Loja 1604 correta,[],brand
TONIELLO - NEW HYUNDAI RIBEIRÃO,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - KEIJI NISSAN,NISSAN Loja Oficial,Loja 3126 correta,[],brand
AKTA - PEUGEOT CITROEN SANTOS,PEUGEOT Loja Oficial,Loja 3549 correta,[],brand
REPECON - FIAT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
RAION - TAIKA MITSUBISHI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
RAION - NATSU MITSUBISHI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
RAION - YUKI SUZUKI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
RAION - MILLENIUM SUZUKI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
RAION - KEIKO NISSAN,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - ORTOVEL FORD UBERLÂNDIA,Perfil do vendedor,Loja incorreta,['Ford'],brand
BRABUS - MITSUBISHI NAÇÕES,MITSUBISHI Loja Oficial,Loja 3874 correta,[],brand
BRABUS - MITSUBISHI ALPHAVILLE,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AKTA - KIA GASTAO VIDIGAL,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
SINAL - PSA PEUGEOT/CITROEN,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AKTA - KIA SANTOS,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
VALVERDE - FIAT AMPARO,Perfil do vendedor,Loja incorreta,['FIAT'],brand
SLAVIERO - FORD,Ford Loja Oficial,Loja 2064 correta,[],brand
TONIELLO - ONTAKE TOYOTA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - NEW HYUNDAI FRANCA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - GT8 CAOA CHERY,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
MONZA - PEUGEOT CITROEN MS,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
MONZA - PRIME FORD E MULTIMARCAS,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
MONT KOYA - MITSUBISHI PONTA GROSSA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
DINAUTO - FIAT TEOFILO OTONI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
DINAUTO - FIAT IPATINGA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
V. MUCHIUTT - VM CENTER HONDA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - THOR VOLVO,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
TONIELLO - ACTION PEUGEOT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
NORDIC - BALTIC VOLVO,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AKKA - MITSUBISHI DIVINOPOLIS,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
ENZO - RENAULT GUARÁ,Renault Loja Oficial,Loja 1604 correta,[],brand
ENZO - FIAT CAMPO GRANDE,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
ENZO - TOYOTA KAMPAI,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
ENZO - TOYOTA VIA JAPAN,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
ENZO - JEEP RAM,Perfil do vendedor,Loja incorreta,['Jeep'],brand
POLIGONO - FIAT,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
ENZO - FIAT ALPAVEL,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
LEAUTO - RENAULT COELHO NETO,Renault Loja Oficial,Loja 1604 correta,[],brand
AKKA - MITSUBISHI MONTES CLAROS,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CARMO - RENAULT MONTES CLAROS,Renault Loja Oficial,Loja 1604 correta,[],brand
MURAI - MITSUBISHI RECIFE,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
AKKA - MITSUBISHI SETE LAGOAS,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
LEAUTO - FIAT COELHO NETO,Perfil do vendedor,Loja incorreta,['FIAT'],brand
TONIELLO - ORTOVEL FORD RIBEIRÃO,Ford Loja Oficial,Loja 2064 correta,[],brand
GB - HYUNDAI BARIGUI PONTA GROSSA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
CONFIALLE - FIAT TAQUARITINGA,Perfil do vendedor,Loja correta,['Perfil do vendedor'],normal
